,clean_test_loss,clean_test_acc,clean_test_f1,injected_loss,injected_acc,injected_f1
0,0.6257630586624146,0.8543577981651376,0.8535440297609365,5.951383590698242,0.16129032258064516,0.13888888888888887
1,0.642387866973877,0.8704128440366973,0.8702488599897553,7.2860517501831055,0.12096774193548387,0.1079136690647482
2,0.8514949083328247,0.8268348623853211,0.8234351512518387,5.327451229095459,0.25,0.2
3,0.5265358686447144,0.8509174311926605,0.8497149675195546,5.555448532104492,0.1532258064516129,0.13286713286713286
4,0.5644354820251465,0.8577981651376146,0.856822033898305,5.7690749168396,0.0967741935483871,0.08823529411764706
5,0.6455675363540649,0.8646788990825688,0.8640351804477896,7.279429912567139,0.07258064516129033,0.06766917293233084
6,0.8523366451263428,0.7981651376146789,0.7911331765525651,4.6723504066467285,0.2338709677419355,0.1895424836601307
7,0.6047545075416565,0.8646788990825688,0.8642676234698186,6.802039623260498,0.10483870967741937,0.09489051094890512
8,0.607368528842926,0.8486238532110092,0.8479037611788832,5.652665615081787,0.1774193548387097,0.1506849315068493
9,0.7568166851997375,0.8486238532110092,0.8472733062654247,6.150832653045654,0.12903225806451613,0.1142857142857143
